,Date,Action,Ticker,Price,Shares,Score,Amount,Rank,Reason,PnL_Pct,Days
51,2024-01-23,BUY,EXPE,145.4459770680954,446,0.21,64868.90577237055,1.0,,,
52,2024-02-08,BUY,AMD,170.3300018310547,386,0.20,65747.38070678711,1.0,,,
53,2024-04-08,SELL,PAYC,197.2354617710013,300,,,,Day 84: Score < 0,0.08173149279776681,84.0
54,2024-04-08,BUY,NVDA,88.65476426391245,730,0.24,64717.97791265609,1.0,,,
55,2024-06-12,SELL,EXPE,123.88004416899264,446,,,,Day 98: Score < 0,-0.14827452318606205,98.0
56,2024-06-12,BUY,GL,79.72224255356741,693,0.28,55247.514089622215,1.0,,,
57,2024-07-11,SELL,AMD,184.07000732421875,386,,,,Day 105: Score < 0,0.08066697202758433,105.0
58,2024-07-11,BUY,EPAM,184.0800018310547,386,0.29,71054.88070678711,1.0,,,
59,2024-07-22,SELL,COIN,260.4700012207031,518,,,,Day 126: Score < 0,1.0948207245630188,126.0
60,2024-07-24,SELL,GL,88.56569901048432,693,,,,Day 28: Score < 0,0.11092834538585339,28.0
61,2024-07-25,BUY,ALB,87.95713750882827,952,0.20,83735.1949084045,1.0,,,
62,2024-07-26,BUY,TSLA,221.19000244140625,382,0.20,84494.58093261719,1.0,,,
63,2024-07-31,SELL,EPAM,214.2100067138672,386,,,,Day 14: Score < 0,0.163678860186373,14.0
64,2024-08-08,BUY,LW,55.92121557597877,1403,0.20,78457.46545309821,1.0,,,
65,2024-09-05,SELL,XYZ,63.970001220703125,986,,,,Day 161: Score < 0,-0.023060507923302942,161.0
66,2024-09-05,BUY,DXCM,69.66000366210938,1204,0.32,83870.64440917969,1.0,,,
67,2024-09-06,SELL,NVDA,107.9937809680718,730,,,,Day 105: Score < 0,0.21813849334244328,105.0
68,2024-09-06,BUY,INTC,19.440000534057617,4335,0.21,84272.40231513977,1.0,,,
69,2024-10-03,SELL,ALB,89.82525156634765,952,,,,Day 49: Score < 0,0.021238913753097943,49.0
70,2024-10-03,BUY,MRNA,62.52999877929688,1439,0.32,89980.66824340822,1.0,,,
71,2024-10-17,SELL,LW,67.45760531413278,1403,,,,Day 49: Score < 0,0.20629719184984086,49.0
72,2024-10-17,BUY,SMCI,50.400001525878906,1768,0.28,89107.2026977539,1.0,,,
73,2024-11-04,SELL,TSLA,244.55999755859372,382,,,,Day 70: Score < 0,0.1056557478151765,70.0
74,2024-11-04,BUY,DLTR,67.02999877929688,1217,0.25,81575.5085144043,1.0,,,
75,2024-11-06,SELL,SMCI,20.8700008392334,1768,,,,Day 14: Score < 0,-0.5859126942978906,14.0
76,2024-11-06,BUY,HUM,285.2630860519121,195,0.23,55626.30178012286,1.0,,,
77,2024-11-14,SELL,INTC,25.1200008392334,4335,,,,Day 49: Score < 0,0.2921810776303626,49.0
78,2024-11-14,BUY,DG,74.665813008729,1048,0.26,78249.772033148,1.0,,,
79,2024-11-22,SELL,DXCM,74.8499984741211,1204,,,,Day 56: Score < 0,0.0745046589027778,56.0
80,2024-11-22,BUY,EL,65.11647687308083,1193,0.20,77683.95690958542,1.0,,,
81,2024-12-13,SELL,DLTR,70.62000274658203,1217,,,,Day 28: Score < 0,0.053558168471785406,28.0
82,2024-12-13,BUY,TPL,398.72625046627337,209,0.29,83333.78634745114,1.0,,,
83,2025-01-28,SELL,EL,82.04302033178257,1193,,,,Day 42: Score < 0,0.2599425563470432,42.0
84,2025-01-28,BUY,REGN,678.3477389014847,124,0.25,84115.1196237841,1.0,,,
85,2025-01-30,SELL,HUM,288.813799947063,195,,,,Day 56: Score < 0,0.012447155165757007,56.0
86,2025-01-30,BUY,AES,10.512260781787347,8072,0.21,84854.96903058747,1.0,,,
87,2025-03-11,SELL,DG,81.30764291010877,1048,,,,Day 77: Score < 0,0.08895409604129378,77.0
88,2025-03-11,BUY,EIX,53.61956333337086,1655,0.29,88740.37731672877,1.0,,,
89,2025-03-21,SELL,AES,12.400539731879157,8072,,,,Day 35: Score < 0,0.1796263419723454,35.0
90,2025-03-21,BUY,FSLR,128.8000030517578,684,0.25,88099.20208740234,1.0,,,
91,2025-03-28,SELL,TPL,440.230848078461,209,,,,Day 70: Score < 0,0.10409296494437448,70.0
92,2025-03-28,BUY,TTD,57.0,1520,0.30,86640.0,1.0,,,
93,2025-04-30,SELL,EIX,55.40778630280542,1655,,,,Day 35: Score < 0,0.033350196425818934,35.0
94,2025-04-30,BUY,DECK,108.13999938964844,758,0.35,81970.11953735352,1.0,,,
95,2025-05-19,SELL,TTD,74.19999694824219,1520,,,,Day 35: Score < 0,0.3017543324253016,35.0
96,2025-05-19,BUY,ALB,57.61349868816862,1698,0.32,97827.72077251032,1.0,,,
97,2025-05-21,SELL,FSLR,161.64999389648438,684,,,,Day 42: Score < 0,0.25504650672660234,42.0
98,2025-05-21,BUY,TER,80.16649897154358,1221,0.31,97883.29524425471,1.0,,,
99,2025-06-23,SELL,TER,85.97845202553046,1221,,,,Day 21: Score < 0,0.07249852654847677,21.0
100,2025-06-23,BUY,UNH,298.003663808506,308,0.26,91785.12845301986,1.0,,,
101,2025-07-09,SELL,MRNA,32.83000183105469,1439,,,,Day 189: Score < 0,-0.47497197390119883,189.0
102,2025-07-10,SELL,ALB,71.15798197945944,1698,,,,Day 35: Score < 0,0.23509218498602102,35.0
103,2025-07-10,BUY,NRG,149.13471745625336,674,0.24,100516.79956551477,1.0,,,
104,2025-07-10,BUY,PLTR,143.30999755859375,702,0.20,100603.61828613281,2.0,,,
105,2025-07-31,SELL,DECK,110.30999755859376,758,,,,Day 63: Score < 0,0.02006656353979097,63.0
106,2025-07-31,BUY,COIN,382.8900146484375,270,0.24,103380.30395507812,1.0,,,
107,2025-08-08,SELL,REGN,558.2513452572864,124,,,,Day 133: Score < 0,-0.1770425207559212,133.0
108,2025-08-08,BUY,CNC,25.299999237060547,3976,0.27,100592.79696655273,1.0,,,
109,2025-09-11,SELL,UNH,344.4958062816796,308,,,,Day 56: Score < 0,0.15601198280249662,56.0
110,2025-09-11,BUY,MOH,194.6100006103516,588,0.39,114430.68035888673,1.0,,,
111,2025-09-18,SELL,NRG,166.13360878312923,674,,,,Day 49: Score < 0,0.11398346150930472,49.0
112,2025-09-18,BUY,LULU,169.02000427246094,656,0.28,110877.12280273438,1.0,,,
113,2025-09-29,SELL,PLTR,179.63999938964844,702,,,,Day 56: Score < 0,0.25350640185588436,56.0
114,2025-09-29,BUY,IT,265.6199951171875,439,0.33,116607.17785644531,1.0,,,
115,2025-10-08,SELL,CNC,38.36000061035156,3976,,,,Day 42: Score < 0,0.5162056034436615,42.0
116,2025-10-08,BUY,CHTR,277.6300048828125,439,0.28,121879.57214355469,1.0,,,
117,2025-10-10,SELL,MOH,201.88999938964844,588,,,,Day 21: Score < 0,0.03740814324271491,21.0
118,2025-10-10,BUY,ALGN,128.6999969482422,942,0.24,121235.39712524414,1.0,,,
119,2025-10-29,SELL,COIN,357.42999267578125,270,,,,Day 63: Score < 0,-0.06649434824262301,63.0
120,2025-10-29,BUY,TTD,51.619998931884766,2327,0.27,120119.73751449585,1.0,,,
121,2025-12-01,SELL,ALGN,145.10000610351562,942,,,,Day 35: Score < 0,0.12742820158627377,35.0
122,2025-12-01,BUY,FISV,61.43999862670898,1802,0.30,110714.87752532958,1.0,,,
123,2025-12-08,SELL,LULU,190.52999877929688,656,,,,Day 56: Score < 0,0.12726301007637963,56.0
124,2025-12-08,BUY,WDC,170.92999267578125,670,0.24,114523.09509277344,1.0,,,
125,2025-12-29,SELL,IT,251.67999267578125,439,,,,Day 63: Score < 0,-0.052480998033510695,63.0
126,2025-12-29,BUY,ARE,48.27698800351915,2427,0.29,117168.24988454097,1.0,,,
